[1]
[Step1]	personal computer / operating system / source / program / high-performance / Internet / server
[Step2]	Linuxは / ユーザーの注目を / 集めている。
	Linux attracts the attention of users.
	(先輩の間違い: B)
[Step3]	Linux attracts the attention of users because the distribution is free of charge and the source is open to the public.
[Step4]	(先輩の間違い: 語句の選び方, 語句の過不足)
[Step5]	Q1. attracts
	Q2. experimental / attracted
	Q3. to
	Q4. collected
	Q5. free / of

[2]
[Step1]	enterprise / telephone charges / Internet telephony / transmission / voice data / packet / cost
[Step2]	インターネット電話は、 / 音声情報を / パケット / 分割している。
	Internet telephony divides voice data into packets.
	(先輩の間違い: B, D)
[Step3]	Internet telephony divides voice data into packets or small units for transmission.
[Step4]	(先輩の間違い: 単数複数)
[Step5]	Q1. into
	Q2. in
	Q3. added
	Q4. two / from / eight
	Q5. by

[3]
[Step1]	storage / floppy disk / semiconductor / flash memory / electric power / portable information device
[Step2]	フラッシュメモリを使うと / データの書き込みや消去が / できる。
	Flash memory enables us to write and erase data.
	(先輩の間違い: B, D)
[Step3]	Flash memory enables us to write and erase data repeatedly.
[Step4]	(先輩の間違い: 語句の選び方)
[Step5]	Q1. enables / to
	Q2. to
	Q3. made
	Q4. deleted
	Q5. repeatedly

[4]
[Step1]	display / liquid crystal / device / organic dye / polymer / full-color / lightweight
[Step2]	有機EL素子は / ディスプレイへの / 応用が可能 / である。
	Organic EL devices are applicable to displays.
	(先輩の間違い: B)
[Step3]	Selecting appropriate organic dyes and polymers allows organic EL devices to be applicable to full-color and lightweight displays.
[Step4]	(先輩の間違い: 語句の選び方, 語句の過不足)
[Step5]	Q1. to
	Q2. applicable
	Q3. for
	Q4. between
	Q5. apply

[5]
[Step1]	artificial organ / respiration / dialysis / pacemaker / requirement / semi-permanently / blood vessel / crystalline lens / tissue
[Step2]	人工臓器の / 要件は / 次の２点 / である。
	Artificial organs must satisfy the following two requirements.
	(先輩の間違い: C)
[Step3]	Artificial organs must satisfy the following two requirements: they must be interchangeable with the original organs and they must be usable semi-permanently.
[Step4]	(先輩の間違い: 語句の過不足, 語句の順序/構文)
[Step5]	Q1. satisfies
	Q2. with
	Q3. with
	Q4. :
	Q5. requires

[6]
[Step1]	consumer electronic products / processor / server / refrigerator / Internet / microwave oven / recipe / automatically
[Step2]	電子レンジは / データを / 得て、 / 冷蔵庫は / 食材を / 発注する。
	Microwave ovens acquire data and refrigerators place orders for food.
	(先輩の間違い: B, D)
[Step3]	Microwave ovens acquire data on recipes over the Internet and refrigerators place orders for food automatically.
[Step4]	(先輩の間違い: 語句の選び方, 語句の過不足)
[Step5]	Q1. for
	Q2. shows
	Q3. raises
	Q4. maintains
	Q5. Draw

[7]
[Step1]	hybrid car / electric motor / pollution / manufacturer / technical innovation / mileage / exhaust / pollutant
[Step2]	ハイブリッドカーは、 / 走行距離が / ガソリン１リットル当たり / 30キロメートルを / 超え、 / 汚染物質を / 削減した。
	Hybrid cars exceeded a mileage of 30 km per liter of gasoline and reduced pollutants.
	(先輩の間違い: B, C)
[Step3]	The newly developed hybrid cars exceeded a mileage of 30 km per liter of gasoline and greatly reduced pollutants in their exhaust.
[Step4]	(先輩の間違い: 語句の選び方)
[Step5]	Q1. reduced
	Q2. by
	Q3. reduced / to
	Q4. exceeds
	Q5. travel

[8]
[Step1]	cartridge / printer / tab / arrow / protective cap / button
[Step2]	インクカートリッジを / プラスチック袋から / 取り出し、
	Take the ink cartridge out of the plastic bag.
	(先輩の間違い: A)
[Step3]	Take the ink cartridge out of the plastic bag before removing the protective cap.
[Step4]	(先輩の間違い: 語句の選び方)
[Step5]	Q1. removed
	Q2. removed
	Q3. removed
	Q4. by
	Q5. against

[9]
[Step1]	access / code / encrypt / algorithm / add / logic
[Step2]	データにある数を足して / そのデータを / 暗号化する。
	Adding a certain number to data encrypts the data.
	(先輩の間違い: C)
[Step3]	Adding a certain number to data encrypts the data before transmission.
[Step4]	(先輩の間違い: スペル)
[Step5]	Q1. encrypted
	Q2. to
	Q3. Turn
	Q4. Tighten
	Q5. Illustrate

[10]
[Step1]	cellular phone / portable electronic instrument / bulk memory / power consumption / fuel cell / lithium / polymer battery
[Step2]	これらの携帯電子機器は、 / 消費電力を / 増加させてきた。
	These portable electronic instruments have increased power consumption.
	(先輩の間違い: C)
[Step3]	These portable electronic instruments have increased power consumption due to the employment of a sophisticated CPU, bulk memory, and a color display.
[Step4]	(先輩の間違い: 語句の選び方)
[Step5]	Q1. instruments
	Q2. apparatus
	Q3. in
	Q4. Fill
	Q5. travels

[11]
[Step1]	air pollution / environmental concerns / thermal power plant / petroleum / fossil fuel / sulfur / oxygen / react / harmful / exhaust
[Step2]	硫黄が / 酸素と反応して / 硫黄酸化物を / 生じる。
	Sulfur reacts with oxygen to form sulfur oxides.
	(先輩の間違い: C)
[Step3]	Sulfur contained in petroleum reacts with oxygen to form sulfur oxides harmful to the human body.
[Step4]	(先輩の間違い: 語句の選び方)
[Step5]	Q1. containing
	Q2. contains
	Q3. contains
	Q4. are
	Q5. with / form

[12]
[Step1]	transmitting services / voice / frequency / circuit / large volumes of data / data compression technique / essential
[Step2]	データの圧縮技術が / 欠かせない。
	The data compression technique is essential.
	(先輩の間違い: D)
[Step3]	To transmit large volumes of data through a limited circuit over the Internet, the data compression technique is essential.
[Step4]	(先輩の間違い: 語句の選び方)
[Step5]	Q1. transmits
	Q2. technology
	Q3. technique
	Q4. technical
	Q5. with

[13]
[Step1]	oosperm / division / multiplication / cell / organ / embryo / tissue / potential
[Step2]	ES細胞は、 / 遺伝的可能性を / 秘めている。
	ES cells possess the genetic potential.
	(先輩の間違い: D)
[Step3]	ES cells possess the genetic potential to become any tissue and organ.
[Step4]	(先輩の間違い: 語句の過不足)
[Step5]	Q1. Load
	Q2. Compare
	Q3. before / operating
	Q4. soften
	Q5. damage

[14]
[Step1]	gene / analysis / semiconductor / fragment / structure / cell / fluorescent dye
[Step2]	DNAチップは / 半導体チップの上に / つくられる。
	DNA chips are fabricated on semiconductor chips.
	(先輩の間違い: B)
[Step3]	DNA chips are fabricated in a regular sequence of DNA fragments on semiconductor chips.
[Step4]	(先輩の間違い: 語句の選び方)
[Step5]	Q1. performed
	Q2. generated
	Q3. surrounded
	Q4. installed
	Q5. determined

[15]
[Step1]	microbe / environment / technique / bioremediation / soil / nutrition / groundwater / trichloroethylene / elimination / safety
[Step2]	手法を、 / バイオレメディエーションと / 呼ぶ。
	The technique is called bioremediation.
	(先輩の間違い: C)
[Step3]	The technique to eliminate various pollutants from the environments using microorganisms is called bioremediation.
[Step4]	(先輩の間違い: 単数複数)
[Step5]	Q1. eliminate
	Q2. remove
	Q3. problem
